id;name;address;zip;city_hotel;cc1;ufi;class;currencycode;minrate;maxrate;preferred;nr_rooms;public_ranking;hotel_url;city_unique;city_preferred;review_score;review_nr;;;;;;;;;;;;;;;;;
2005705;Apartments Adriana;Branka Ćopića bb;77000;Bihać;ba;-75014;5;EUR;80;;;1;1;http://www.mishoteles.com/hotel/ba/apartments-adriana.html;bihac;Bihać;1;1;;;;;;;;;;;;;;;;;
1995385;Farfalle;1b Podere Montechiari;53020;San Giovanni dʼAsso;it;-127639;0;EUR;112.7;;;1;1;http://www.mishoteles.com/hotel/it/farfalle.html;san-giovanni-d-asso;San Giovanni dʼAsso;1;1;;;;;;;;;;;;;;;;;
1960746;Apartment Doba In Ua Starokozatska;65 Starokozatska Street;49131;Dnepropetrovsk;ua;-1037865;0;UAH;550;;;1;1;http://www.mishoteles.com/hotel/ua/apartment-doba-in-ua-starokozatska.html;dnipropetrovs-k;Dnepropetrovsk;1;1;;;;;;;;;;;;;;;;;
1940235;Casa Celeste;Via Umberto I, 115;74028;Sava;it;-129106;0;EUR;50;;;1;1;http://www.mishoteles.com/hotel/it/casa-celeste-sava.html;sava;Sava;1;1;;;;;;;;;;;;;;;;;
2003354;Apartment Komsomolskaya 18;ул.Комсомольская д.18 кв9;400066;Volgograd;ru;-3034353;0;RUB;2300;;;1;1;http://www.mishoteles.com/hotel/ru/apartment-komsomolskaya-18.html;volgograd;Volgograd;1;1;;;;;;;;;;;;;;;;;
2004948;Flat in Playa de Arinaga;Calle Andrés de Urdaneta 32, 2ºI;35118;Arinaga;es;-371399;0;EUR;60.8;;;1;1;http://www.mishoteles.com/hotel/es/flat-in-playa-de-arinaga.html;arinaga;Arinaga;1;1;;;;;;;;;;;;;;;;;
2009192;Mon Appartement;Le duplan 3 Rue Folco de Baroncelli;30000;Nîmes;fr;-1455068;0;EUR;80;;;1;1;http://www.mishoteles.com/hotel/fr/mon-appartement-nimes.html;nimes;Nîmes;1;1;;;;;;;;;;;;;;;;;
1971343;Apartment Nataly;21 Bulevar Mihajla Pupina 1;11070;Beograd;rs;-74897;0;EUR;31.5;;;1;1;http://www.mishoteles.com/hotel/rs/apartment-nataly.html;belgrade;Beograd;1;1;;;;;;;;;;;;;;;;;
2034434;Mini-hotel Nistry;Ворохтянская 728 Иванофранковская обл.;78596;Tatariv;ua;900049849;0;UAH;550;;;9;1;http://www.mishoteles.com/hotel/ua/mini-nistru.html;tatariv;Tatariv;1;1;;;;;;;;;;;;;;;;;
1937732;Willa Stornia;Ogrodowa 65;84-140;Jastarnia;pl;-505400;0;PLN;120;;;1;1;http://www.mishoteles.com/hotel/pl/willa-stornia.html;jastarnia;Jastarnia;1;1;;;;;;;;;;;;;;;;;
1964047;Le roc de bille;lieu-dit Le roc de Bille;24580;Rouffignac-Saint-Cernin-de-Reilhac;fr;-1462834;0;EUR;80;;;1;1;http://www.mishoteles.com/hotel/fr/le-roc-de-bille.html;rouffignac;Rouffignac Saint-Cernin;1;1;;;;;;;;;;;;;;;;;
1952878;Studio Teixeira;Rua Grijó 17, 1º Dto. Frt;4150-384;Porto;pt;-2173088;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/pt/studio-teixeira.html;porto;Porto;1;1;;;;;;;;;;;;;;;;;
2033625;Ta'sùil;Via Guglielmo Marconi, 43;40121;Bologna;it;-111742;0;EUR;109;;;1;1;http://www.mishoteles.com/hotel/it/ta-39-suil.html;bologna;Bologna;1;1;;;;;;;;;;;;;;;;;
1930540;Casa del Maestrale e dello Scirocco;località Mercuri;9017;Canai;it;-112902;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/it/casa-del-maestrale-e-dello-scirocco.html;canai;Canai;1;1;;;;;;;;;;;;;;;;;
1959227;Radisson Blu Resort & Spa, Mogan, Gran Canaria;Avenida Los Marrero, 37;35140;Puerto de Mogan;es;-387820;5;EUR;159;;;422;1;http://www.mishoteles.com/hotel/es/radisson-blu-resort-spa-mogan-gran-canaria.html;la-playa-de-mogan;Puerto de Mogán;1;1;;;;;;;;;;;;;;;;;
1998987;Cordovina, Casa Madeira Verde;Casa Nova da Cruz;7630-568;São Teotónio;pt;-2176147;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/pt/cordovina-casa-madeira-verde.html;sao-teotonio;São Teotónio;1;1;;;;;;;;;;;;;;;;;
1972710;Cimes 1;77 chemin des Cimes;74430;Saint-Jean-d'Aulps;fr;-1466108;0;EUR;;;;1;1;http://www.mishoteles.com/hotel/fr/cimes-1.html;saint-jean-daulps;Saint-Jean-dʼAulps;1;1;;;;;;;;;;;;;;;;;
2029432;Borostyán Vendégház;Hunyadi u 21;9826;Petomihalyfa;hu;-864421;0;EUR;26;;;2;1;http://www.mishoteles.com/hotel/hu/borostyan-vendeghaz-petomihalyfa.html;petomihalyfa;Petőmihályfa;1;1;;;;;;;;;;;;;;;;;
1943500;La Marisa appartamento azzurro;via Cavour 56;90041;Balestrate;it;-111134;0;EUR;50;;;1;1;http://www.mishoteles.com/hotel/it/la-marisa-appartamento-azzurro.html;balestrate;Balestrate;1;1;;;;;;;;;;;;;;;;;
1941216;Dafne Mare;Via Lungomare Biscione Traversa Maestrale, 469;91020;Petrosino;it;-124428;0;EUR;72;;;1;1;http://www.mishoteles.com/hotel/it/dafne-mare.html;petrosino;Petrosino;1;1;;;;;;;;;;;;;;;;;
2020478;Häuserhof;Märzenstraße 56;6275;Stumm;at;-1992786;0;EUR;267;;;1;1;http://www.mishoteles.com/hotel/at/hauserhof.html;stumm;Stumm;1;1;;;;;;;;;;;;;;;;;
2022485;Apartmani Sabic;Vukovarska 78;21300;Makarska;hr;-87968;0;EUR;120;;;1;1;http://www.mishoteles.com/hotel/hr/apartmani-sabic.html;makarska;Makarska;1;1;;;;;;;;;;;;;;;;;
1950036;Studio Beauregard;29 Place de la Grenette BP42;74450;Le Grand-Bornand;fr;-1441353;3;EUR;;;;1;1;http://www.mishoteles.com/hotel/fr/studio-beauregard-le-grand-bornand.html;le-grand-bornand;Le Grand-Bornand;1;1;;;;;;;;;;;;;;;;;
2017785;Casa La Perla;Félix De La Riva Garcia 25;29639;Benalmádena;es;-373144;0;EUR;90;;;1;1;http://www.mishoteles.com/hotel/es/casa-la-perla-benalmadena.html;benalmadena;Benalmádena;1;1;;;;;;;;;;;;;;;;;
2040988;London Road East - Batheaston;271 London Road East;BA1 7RL;Bath;gb;-2589418;0;GBP;171.75;;;1;1;http://www.mishoteles.com/hotel/gb/london-road-east-batheaston.html;bath;Bath;1;1;;;;;;;;;;;;;;;;;
1961022;Rohome;Via Emilio Albertario 7;167;Roma;it;-126693;0;EUR;61.6;;;1;1;http://www.mishoteles.com/hotel/it/rohome.html;rome;Roma;1;1;;;;;;;;;;;;;;;;;
1962789;Mojon Hills B16;Calle Isla de Samoa Block 50 B16;30868;Isla Plana;es;-385968;0;EUR;70;;;1;1;http://www.mishoteles.com/hotel/es/mojon-hills-b16.html;isla-plana;Isla Plana;1;1;;;;;;;;;;;;;;;;;
1986976;Martha's Studio;Wesselényi utca 4;1077;Budapest;hu;-850553;0;EUR;32;;;1;1;http://www.mishoteles.com/hotel/hu/martha-39-s-studio.html;budapest;Budapest;1;1;;;;;;;;;;;;;;;;;
